אָב|<a>v|father
לְהֵיחָרֵב|lehechar<e>v|to be destroyed, ruined
לַחֲרוֹב|lachar<o>v|to waste, to be destroyed
לְהַחֲרִיב|lehachar<i>v|to destroy, to ruin
חוּרְבָּן|churb<a>n|destruction
לְחַרְבֵּן|lecharb<e>n|to shit, to cause failure
לְהִתְחַרְבֵּן|lehitcharb<e>n|to fail, to fizzle (slang)
לַחֲרוֹג|lachar<o>g|to exceed, to digress (מן)
לַחֲרוֹד|lachar<o>d|to be worried about (ל-)
לְהֵיחָרֵד|lehechar<e>d|to be appalled, horrified with (מן)
לְהַחְרִיד|lehachr<i>d|to frighten, to scare (lit.)
מַחְרִיד|machr<i>d|awful, frightening
חֲרָדָה|charad<a>|anxiety, fear
לַחֲרוֹז|lachar<o>z|to rhyme
לְהֵיחָרֵז|lehechar<e>z|to be rhymed; to be strung (of beads, pearls)
חָרוּז|char<u>z|rhyme
חֲרִיזָה|chariz<a>|rhyming
לְהִתְחָרֵז|lehitchar<e>z|to rhyme, to be rhymed
לְחַרְחֵר|lecharch<e>r|to incite, to stir up quarrel
לַחֲרוֹט|lachar<o>t|to etch, to engrave
לְהֵיחָרֵט|lehechar<e>t|to be etched, engraved
חֲרָטָה|charat<a>|remorse, regret
לְהִתְחָרֵט|lehitchar<e>t|to regret, to repent (על)
לְחַרְטֵט|lechart<e>t|to talk rubbish, to talk nonsense (slang)
חַרְטָט|chart<a>t|rubbish, nonsense (slang)
תַּחֲרוּת|tachar<u>t|competition; contest, rivalry
לְהִתְחָרוֹת|lehitchar<o>t|to compete (with) (ב-)
מִתְחָרֶה|mitchar<e>|competitor
הִתְחָרוּת|hitchar<u>t|competition
לַחֲרוֹת|lachar<o>t|to be angry (חרה אף) (biblical)
לְהַחְרוֹת|lehachr<o>t|to concur, to agree (with someone) (אחרי) (rare)
לַחֲרוֹךְ|lachar<o>ch|to scorch
לְהֵיחָרֵךְ|lehechar<e>ch|to be scorched
חָרָךְ|char<a>ch|slit, aperture; small window
לְהַחֲרִים|lehachar<i>m|to boycott; to confiscate
חֵירוּם|cher<u>m|emergency
לְהַחֲרִיף|lehachar<i>f|to worsen, to aggravate
לְחָרֵף|lechar<e>f|to insult, to abuse, to curse (lit.)
חוֹרֶף|ch<o>ref|winter
חוֹרְפִּי|chorp<i>|winter, wintery
חָרִיף|char<i>f|sharp, acute; spicy, hot (food); keen, smart
לַחְרוֹף|lachr<o>f|to winter, to spend winter (of animals)
לְהִתְחַרְפֵן|lehitcharf<e>n|to go bananas, to go crazy (slang)
לְהֵיחָרֵץ|lehechar<e>tz|to be determined, decided
חָרוּץ|char<u>tz|diligent, industrious
לַחֲרוֹץ|lachar<o>tz|to notch, to snot; to resolve
לַחֲרוֹק|lachar<o>k|to creak, to squeak
חֵירוּת|cher<u>t|freedom, liberty
לְחָרֵר|lechar<e>r|to perforate, to punch holes in something
לַחֲרוֹשׁ|lachar<o>sh|to plough
לְהַחֲרִישׁ|lehachar<i>sh|to silence; to be silent
לְהֵיחָרֵשׁ|lehechar<e>sh|to be ploughed
חֵירֵשׁ|cher<e>sh|deaf
מַחְרֵשָׁה|machresh<a>|plough (plow)
לְהִתְחָרֵשׁ|lehitchar<e>sh|to become deaf
לַחֲרוֹת|lachar<o>t|to engrave, to inscribe
לַחְשׁוֹב|lachsh<o>v|to think
לְהֵיחָשֵׁב|lehechash<e>v|to be considered as (ל-)
לְחַשֵּׁב|lechash<e>v|to calculate
לְהַחְשִׁיב|lehachsh<i>v|to value, to esteem
לְהִתְחַשֵּׁב|lehitchash<e>v|to consider, to take into account (-ב)
הִתְחַשְּׁבוּת|hitchashv<u>t|consideration, ability to take into account
חִישּׁוּב|chish<u>v|calculation, computation
מַחְשֵׁב|machsh<e>v|computer
חַשָּׁב|chash<a>v|accountant (rare)
חֶשְׁבּוֹן|cheshb<o>n|account, bill
חָשׁוּב|chash<u>v|important; considered as (כ־)
חֶשְׁבּוֹנִית|cheshbon<i>t|invoice
לְהִתְחַשְׁבֵּן|lehitchashb<e>n|to settle accounts; to take revenge (slang)
לַחְשׁוֹד|lachsh<o>d|to suspect (ב-)
לְהֵיחָשֵׁד|lehechash<e>d|to be suspected
לְהַחְשִׁיד|lehachsh<i>d|to cast suspicion
חָשׁוּד|chash<u>d|suspected, suspect
חֲשָׁד|chash<a>d|suspicion
חֲשַׁאי|chash<a>y|secrecy, secret
לְהַחֲשׁוֹת|lehachash<o>t|to be silent, to become silent; to silence (archaic)
לַחְשׁוֹךְ|lachsh<o>ch|to become dark
לְהַחְשִׁיךְ|lehachsh<i>ch|to darken, to make dark; to become dark
חוֹשֶׁךְ|ch<o>shech|darkness
לְחַשֵּׁל|lechash<e>l|to forge, to hammer
לְהִתְחַשֵּׁל|lehitchash<e>l|to be forged
לְחַשְׁמֵל|lechashm<e>l|to electrify
לְהִתְחַשְׁמֵל|lehitchashm<e>l|to be electrocuted
חַשְׁמָל|chashm<a>l|electricity
חַשְׁמָלִי|chashmal<i>|electric
לְהֵיחָשֵׂף|lehechas<e>f|to be revealed, exposed
חֲשִׂיפָה|chasif<a>|exposure, unveiling
חַשְׂפָן|chasf<a>n|stripper (male)
חַשְׂפָנִית|chasfan<i>t|stripper (female)
חַשְׂפָנוּת|chasfan<u>t|striptease
לַחֲשׂוֹף|lachas<o>f|to reveal, to expose
לְחַשֵּׁק|lechash<e>k|to tie up, to hook
לְהִתְחַשֵּׁק|lehitchash<e>k|to feel like, to desire
חֵשֶׁק|ch<e>shek|desire, urge
לְהֵיחָשֵׁק|lehechash<e>k|to be desired, coveted
לַחְשׁוֹק|lachsh<o>k|to desire, to covet (ב-)
לַחְשׁוֹשׁ|lachsh<o>sh|to worry (מן)
חֲשָׁשׁ|chash<a>sh|worry, fear, concern (for something: ל־)
חָתוּל|chat<u>l|cat
חֲתוּלָה|chatul<a>|cat (female)
חֲתוּלִי|chatul<i>|feline
לַחְתּוֹךְ|lacht<o>ch|to cut, to slash
לְהֵיחָתֵךְ|lehechat<e>ch|to be cut, slashed (ב-)
חֲתָךְ|chat<a>ch|section, cross-section; cut, incision
חָתִיךְ|chat<i>ch|handsome man
חֲתִיכָה|chatich<a>|piece; pretty woman (slang)
לְחַתֵּךְ|lechat<e>ch|to carve (wood, metal, etc.); to cut, to separate (Talmudic)
לְחַתֵּל|lechat<e>l|to bandage, to swathe
חִיתּוּל|chit<u>l|diaper, nappy
חֲתַלְתּוּל|chatalt<u>l|kitten
חֲתַלְתּוּלָה|chataltul<a>|kitten (female)
חֲתַלְתּוּלוֹן|chataltul<o>n|kitten (affective diminutive)
חֲתַלְתּוּלוֹנֶת|chataltul<o>net|kitten (female; affective diminutive)
חֲתִימָה|chatim<a>|signature; signing; conclusion, completion; subscription; autograph
לְהֵיחָתֵם|lehechat<e>m|to be signed, sealed
לְהַחְתִּים|lehacht<i>m|to make sign, to obtain a signature
לַחְתּוֹם|lacht<o>m|to sign, to seal, to finish
לְחַתֵּן|lechat<e>n|to marry off
חֲתוּנָּה|chatun<a>|wedding
חָתָן|chat<a>n|bridegroom, groom; son-in-law
לְהִתְחַתֵּן|lehitchat<e>n|to get married (with) (עם)
מַחְתֶּרֶת|macht<e>ret|underground organisation
לַחְתּוֹר|lacht<o>r|to paddle, to strive for (ל-); to undermine, to subvert
לְטַאְטֵא|letat<e>|to sweep, to mop up
מַטְאֲטֵא|mat'at<e>|broom
טָבוּחַ|tav<u>ach|slaughtered, massacred
לִטְבּוֹחַ|litb<o>ach|to slaughter, to butcher (ב־)
לְהִיטָּבֵחַ|lehitav<e>ach|to be slaughtered, butchered
טַבָּח|tab<a>ch|cook
מִטְבָּח|mitb<a>ch|kitchen, cuisine
טֶבַח|t<e>vach|massacre, slaughter
לִטְבּוֹל|litb<o>l|to dip, to immerse
לְהִיטָּבֵל|lehitav<e>l|to be dipped, immersed
לְהַטְבִּיל|lehatb<i>l|to dip, to immerse; to baptize
לִטְבּוֹעַ|litb<o>a|to drown, to sink; to mint
לְהִיטָּבֵעַ|lehitav<e>a|to be minted
לְהַטְבִּיעַ|lehatb<i>a|to mint, to impress
טִבְעוֹנִי|tiv'on<i>|vegan
מַטְבֵּעַ|matb<e>a|coin
טֶבַע|t<e>va|nature
טִבְעִי|tiv'<i>|natural
טִבְעוֹנוּת|tiv'on<u>t|veganism
טַבַּעַת|tab<a>'at|ring, circle
לְהַטְבִּיעַ|lehatb<i>a|to drown, to sink; to dunk (basketball)
לְטַגֵּן|letag<e>n|to fry
מְטוּגָּן|metug<a>n|fried
לְטַהֵר|letah<e>r|to cleanse, to purify
לִטְהוֹר|lith<o>r|to be purified, to be pure (biblical)
לְהִיטָּהֵר|lehitah<e>r|to be purified (lit.)
לְהִיטַּהֵר|lehitah<e>r|to be purified
טָהוֹר|tah<o>r|pure, clean (figurative); pure, unalloyed
טוֹהַר|t<o>har|purity, cleanness
לָטוּב|lat<u>v|to be good, to be glad (bibl.)
טוֹבָה|tov<a>|favour, kindness
טוֹב|t<o>v|good; pleasant; appropriate
טוּזִיג|tuz<i>g|picnic (dated)
לְהָטִיחַ|lehat<i>ach|to hurl, to bang against
לְטַווֵּחַ|letav<e>ach|to aim, to obtain the range (military)
טְווָח|tv<a>ch|distance (to target), range
לִטְווֹת|litv<o>t|to spin (thread, webs); to weave (a plot, etc.)
לְהַטִּיל|lehat<i>l|to cast, to throw, to lay (eggs)
לְהָטִיס|lehat<i>s|to fly (transitive)
לָטוּס|lat<u>s|to fly (by airplane)
מָטוֹס|mat<o>s|airplane, plane
טִיסָה|tis<a>|flight (of an airplane)
מַטְחֵנָה|matchen<a>|food grinder, coffee grinder
לִטְחוֹן|litch<o>n|to grind, to mill
טָחוּן|tach<u>n|ground, minced
טְחִינָה|tchin<a>|sesame paste, tahini
לְטַייֵּב|letay<e>v|to improve the soil (agriculture); to improve, to make better
טִיּוּל|tiy<u>l|walk, journey
טַייֶּלֶת|tay<e>let|promenade
לְטַייֵּל|letay<e>l|to walk, to travel
טַייָּס|tay<a>s|pilot, aviator
לְטַכֵּס|letak<e>s|to arrange a ceremony
לְטַלְגְּרֵף|letalgr<e>f|to telegraph
לְטַלְטֵל|letalt<e>l|to shake, to toss; to move
לְהִיטַּלְטֵל|lehitalt<e>l|to wander; to sway, to swing from side to side
טַלִּית|tal<i>t|prayer shawl, talit
טַל|t<a>l|dew
טֶלֶף|t<e>lef|hoof
לְטַלֵּף|letal<e>f|to trim hooves (of an animal) (אצל)
לְטַלְפֵּן|letalp<e>n|to call on the telephone (אל)
לְטַמֵּא|letam<e>|to defile, to taint
לְהִיטָּמֵא|lehitam<e>|to be defiled, tainted
לְטַמְטֵם|letamt<e>m|to confuse, to stupefy, to make stupid
לִטְמוֹן|litm<o>n|to bury, to hide
לְהִיטָּמֵן|lehitam<e>n|to be buried
לְהַטְמִין|lehatm<i>n|to plant, to hide
לְהַטְמִיעַ|lehatm<i>a|to assimilate; to implement
לְהִיטָּמֵעַ|lehitam<e>a|to be assimilated; to fit in
לְטַנֵּף|letan<e>f|to pollute, to foul
טִינּוֹפֶת|tin<o>fet|disreputable person (slang); foulness
לִטְעוֹת|lit'<o>t|to err, to mistake
לְהַטְעוֹת|lehat'<o>t|to mislead, to deceive
טָעוּת|ta'<u>t|error, mistake
לִטְעוֹם|lit'<o>m|to taste
לְהַטְעִים|lehat'<i>m|to stress, to emphasize
טָעִים|ta'<i>m|tasty, delicious
טְעִימָה|te'im<a>|tasting; tasting sample, piece
מַטְעָם|mat'<a>m|delicacy
טַעַם|t<a>'am|taste
לְהַטְעִין|lehat'<i>n|to load; to charge
לִטְעוֹן|lit'<o>n|to load; to charge; to claim, to argue
מִטְעָן|mit'<a>n|charge (electrical or explosive); baggage, cargo
מַטְעֵן|mat'<e>n|battery charger
לְהִיטָּעֵן|lehita'<e>n|to be loaded; to be (re)charged; to be claimed
לִטְפּוֹחַ|litp<o>ach|to tap, to slap on (על)
לְטַפֵּחַ|letap<e>ach|to foster, to nurture
טְפִיחָה|tfich<a>|slap, light blow
לְטַפְטֵף|letaft<e>f|to drip, to trickle
לְטַפֵּל|letap<e>l|to treat, to take care (ב-)
לְהִיטָּפֵל|lehitaf<e>l|to pick (on someone) (אל)
טִיפּוּל|tip<u>l|treatment, care
לִטְפּוֹל|litp<o>l|to glue, to stick, to attach
לְטַפֵּס|letap<e>s|to climb (על)
טוֹפֶס|t<o>fes|form, blank
לִטְפּוֹף|litp<o>f|to trot, to mince (of walking)
מְטוּפָּשׁ|metup<a>sh|stupid, unwise, illogical
טִיפֵּשׁ|tip<e>sh|stupid, foolish
טֶקֶס|t<e>kes|ceremony
טָרוּד|tar<u>d|busy, occupied
לְהַטְרִיד|lehatr<i>d|to bother, to disturb
הַטְרָדָה|hatrad<a>|bothering; harassment
לְהַטְרִיחַ|lehatr<i>ach|to trouble, to bother
לִטְרוֹחַ|litr<o>ach|to take pains, to take trouble
לְטַרְטֵר|letart<e>r|to rumble, to rattle
טְרִיּוּת|triy<u>t|freshness
טָרִי|tar<i>|fresh (food, etc.); new, recent
לִטְרוֹף|litr<o>f|to devour; to shuffle
לְהִיטָּרֵף|lehitar<e>f|to be devoured; to be reshuffled
לְהַטְרִיף|lehatr<i>f|to drive mad
לְטַרְפֵּד|letarp<e>d|to torpedo; to thwart
לְהִיטָּרֵק|lehitar<e>k|to be slammed
לִטְרוֹק|litr<o>k|to slam (a door)
טָרֶשֶׁת|tar<e>shet|sclerosis
לְהִתְטַשְׁטֵשׁ|lehittasht<e>sh|to be blurred, to be obscured
לְטַשְׁטֵשׁ|letasht<e>sh|to cover, to blur, to obscure
לִיאוֹת|li'<o>t|to be appropriate, fit, proper
לְהוֹאִיל|leho'<i>l|to agree, to be so kind as to
לְהִיווָּאֵשׁ|lehiva'<e>sh|to despair, to lose hope, to give up
לְהִתְייָאֵשׁ|lehitya'<e>sh|to despair, to give up
יֵיאוּשׁ|ye'<u>sh|despair, despondency
לְייַבֵּא|leyab<e>|to import
לְייַבֵּב|leyab<e>v|to howl, to wail; to sob
לְהוֹבִיל|lehov<i>l|to lead, to guide; to result in
מְיוּבָּל|meyub<a>l|callous, corny, horny
יַבֶּלֶת|yab<e>let|corn, callosity
מוֹבִיל|mov<i>l|leading
לְהִתְייַבֵּשׁ|lehityab<e>sh|to dry, to dry up (intransitive)
לִיבוֹשׁ|liv<o>sh|to dry out, to become dry
יָבֵשׁ|yav<e>sh|dry
יִיבּוּשׁ|yib<u>sh|drying
יַבֶּשֶׁת|yab<e>shet|continent
יַבָּשָׁה|yabash<a>|land, dry land
לְייַבֵּשׁ|leyab<e>sh|to dry, to dry up (transitive)
תּוּגָה|tug<a>|grief, sorrow (lit.)
לְייַגֵּעַ|leyag<e>a|to fatigue, to tire, to weary
לְהִתְייַגֵּעַ|lehityag<e>a|to become tired, to toil
יָגוֹר|yag<o>r|to fear, to be in awe of something (מ־) (archaic)
יָד|y<a>d|arm, hand, forehand
יָד|y<a>d|handle
לְהִתְייַדֵּד|lehityad<e>d|to befriend, to make friends with (עם)
יְדִידוּת|yedid<u>t|friendship
יָדִיד|yad<i>d|friend, comrade
לְהוֹדוֹת|lehod<o>t|to acknowledge; to thank (ל-)
לִידוֹת|lid<o>t|to throw, to hurl (biblical)
תּוֹדָה|tod<a>|acknowledgement, gratitude; thank you (as interjection)
לְייַדּוֹת|leyad<o>t|to throw (esp. stones), to hurl
מוֹדָעָה|moda'<a>|advertisement, announcement, notice
לָדַעַת|lad<a>'at|to know
לְהוֹדִיעַ|lehod<i>a|to inform, to announce to someone (ל-)
לְהִיווָּדֵעַ|lehivad<e>a|to become known (to) (ל-)
לְייַדֵּעַ|leyad<e>a|to determine, to make definite; to inform, to update
דַּעַת|d<a>'at|opinion, view; knowledge; wisdom; intelligence
יְדִיעָה|yedi'<a>|notice, news, information; knowledge
יֶדַע|y<e>da|knowledge
יַדְעָן|yad'<a>n|erudite person
הוֹדָעָה|hoda'<a>|notice, message; notification; announcement
מַדָּע|mad<a>|science
מֵידָע|med<a>|information
יַהֲדוּת|yahad<u>t|Judaism; Jewry
יוֹם|y<o>m|day
יוֹמָן|yom<a>n|diary; log, journal; appointment calendar
לְהִתְייַווֵּן|lehityav<e>n|to become Hellenized (hist.)
לְהוֹזִיל|lehoz<i>l|to cheapen, to reduce in price by (ב-)
יַזָּם|yaz<a>m|entrepreneur
מֵיזָם|mez<a>m|project, entreprise, initiative
יוֹזְמָה|yozm<a>|initiative
לִיזוֹם|liz<o>m|to undertake, to start a business
לְהַזִּיעַ|lehaz<i>a|to sweat
לְהִתְייַחֵד|lehityach<e>d|to seclude oneself
מְיוּחָד|meyuch<a>d|special, unique
יִיחוּד|yich<u>d|designation; separation; uniqueness
יַחַד|y<a>chad|together
לְייַחֵד|leyach<e>d|to designate, to set aside
לְייַחֵל|leyach<e>l|to await, to look forward, to hope for (ל-)
לְהִתְייַחֵס|lehityach<e>s|to relate (to), to refer to, to deal with (אל)
יַחַס|y<a>chas|relation, relationship, attitude; ratio
לְייַחֵס|leyach<e>s|to attribute, to ascribe (את, אל)
לְהֵיטִיב|lehet<i>v|to do good, to improve
יַיִן|y<a>yin|wine
לְהוֹכִיחַ|lehoch<i>ach|to prove (something to someone) (את, ל-)
לְהִיווָּכֵחַ|lehivach<e>ach|to be proven, to be convinced (ב-)
לוּכַל|luch<a>l|can, to be able to (the infinitive is usually להיות מסוגל)
יְכוֹלֶת|yech<o>let|ability, capability
לָלֶדֶת|lal<e>det|to give birth, to beget
לְהוֹלִיד|lehol<i>d|to beget, to produce
לְהִיווָּלֵד|lehival<e>d|to be born
לְהִתְייַלֵּד|lehityal<e>d|to behave childishly
יֶלֶד|y<e>led|boy, male child
יַלְדָּה|yald<a>|girl, female child
מוֹלֶדֶת|mol<e>det|homeland, motherland
לֵידָה|led<a>|birth, childbirth
יַלְדוּת|yald<u>t|childhood
יְלוּדָה|yelud<a>|birth rate
לְייַלֵּד|leyal<e>d|to deliver (a baby)
לְייַלֵּל|leyal<e>l|to wail, to howl
יְלָלָה|yelal<a>|wailing, howling
תּוֹלַעַת|tol<a>'at|worm, maggot
יַמָּה|yam<a>|lake, inland sea
יַמִּי|yam<i>|marine, maritime, related to sea
יָם|y<a>m|sea
מְיוּמָּן|meyum<a>n|skilled, seasoned
מְיוּמָּנוּת|meyuman<u>t|skill
לְהִתְייַמֵּר|lehityam<e>r|to pretend
יוֹמְרָה|yomr<a>|pretension, ambition
לְהוֹנוֹת|lehon<o>t|to defraud, to swindle, to decieve
לְייַנֵּן|leyan<e>n|to ionise
לְהֵינִיק|lehen<i>k|to breast-feed
לִינוֹק|lin<o>k|to suckle; to absorb, to imbibe (ideas, influence)
לִיסוֹד|lis<o>d|to found, to establish
לְהִיווָּסֵד|lehivas<e>d|to be founded, to be established
יְסוֹדִיּוּת|yesodiy<u>t|thoroughness, comprehensiveness, completeness
יְסוֹדִי|yesod<i>|thorough, comprehensive, complete
יְסוֹד|yes<o>d|foundation, basis
מוֹסָד|mos<a>d|institution, institute
יִיסּוּד|yis<u>d|establishment, founding, inception
לְייַסֵּד|leyas<e>d|to found, to establish
יוֹסֵף|yos<e>f|to add, to continue (archaic)
לְהוֹסִיף|lehos<i>f|to add, to continue
לְהִיווָּסֵף|lehivas<e>f|to be added (to) (אל)
תּוֹסֶפֶת|tos<e>fet|addition, appendix; side-dish
לְהִיתּוֹסֵף|lehitos<e>f|to be added, to join
הוֹסָפָה|hosaf<a>|addition
יִיסּוּרִים|yisur<i>m|torment, suffering
לְהִתְייַסֵּר|lehityas<e>r|to suffer
לְייַסֵּר|leyas<e>r|to punish, to chastise
לְהִיווָּעֵד|lehiva'<e>d|to be designed (for), to be aimed at; to meet, to get together
מוּעָד|mu'<a>d|to be designed (for), to be aimed at (ל-)
לִיעוֹד|li'<o>d|to designate, to appoint (lit.)
יַעַד|y<a>'ad|aim, target, destination
לְייַעֵד|leya'<e>d|to designate, to appoint
לְהִיווָּעֵז|lehiva'<e>z|to dare
תּוֹעֶלֶת|to'<e>let|use, benefit
